solution,title,source,url
No Flying,France bans short-haul flights to cut carbon emissions,BBC,https://www.bbc.com/news/world-europe-65687665
No Flying,85% of global companies don’t have credible plans to reduce corporate flying emissions,Transport & Environment,https://www.transportenvironment.org/discover/85-of-global-companies-dont-have-credible-plans-to-reduce-corporate-flying-emissions/
No Flying,How to make climate-neutral aviation fly,Nature,https://www.nature.com/articles/s41467-023-39749-y
Composting,The case for compost: why recycling food waste is so much better than sending it to landfill,The Conversation,https://theconversation.com/the-case-for-compost-why-recycling-food-waste-is-so-much-better-than-sending-it-to-landfill-205583
Composting,Composting: The simple climate solution you can do at home,One Earth,https://www.oneearth.org/composting-the-simple-climate-solution-you-can-do-at-home/
Composting,Transforming Climate Change with Composting Technology,Environmental Protection,https://eponline.com/articles/2023/10/27/transforming-climate-change-with-composting-technology-a-sustainable-solution.aspx?m=1
Composting,Opinion: Composting organic waste helps combat climate change,The Mercury News,https://www.google.com/search?q=climate+change+%2BComposting&client=safari&sca_esv=581534822&rls=en&biw=1512&bih=841&tbm=nws&sxsrf=AM9HkKm7QHWOkP0WcS7y_xDznrmag31LGg%3A1699719861090&ei=tapPZYX7BIuP9u8PurGFgA4&ved=0ahUKEwjFqab0rbyCAxWLh_0HHbpYAeAQ4dUDCAw&uact=5&oq=climate+change+%2BComposting&gs_lp=Egxnd3Mtd2l6LW5ld3MiGmNsaW1hdGUgY2hhbmdlICtDb21wb3N0aW5nSLcCUABYAHAAeACQAQCYAVGgAVGqAQExuAEDyAEA-AEC-AEBiAYB&sclient=gws-wiz-news
Composting,The City Kicks Off Its Food Waste Composting Program,City of Toledo,https://toledo.oh.gov/news/2023/10/25/the-city-kicks-off-its-food-waste-composting-program
Composting,Assessing the climate change mitigation potential from food waste composting,Nature,https://www.nature.com/articles/s41598-023-34174-z
Recycling,EO Guides: How To Introduce Recycling Into Your Business,Earth.Org,https://earth.org/eo-guides-how-to-introduce-recycling-into-your-business/
Recycling,Perspectives on plastic pollution and climate change issues,The World Economic Forum,https://www.weforum.org/agenda/2023/06/plastic-pollution-and-climate-change-perspectives-on-the-path-forward/
Recycling,Tennessee | Molecular Recycling Facility,Eastman,https://www.eastman.com/en/sustainability/environmental/circularity/site-locations/tennessee-site
Recycling,Trash or Recycling? Why Plastic Keeps Us Guessing.,The New York Times,https://www.nytimes.com/interactive/2022/04/21/climate/plastics-recycling-trash-environment.html
Recycling,Advanced recycling: Opportunities for growth,McKinsey,https://www.mckinsey.com/industries/chemicals/our-insights/advanced-recycling-opportunities-for-growth
Recycling,You're doing it wrong: Recycling and other myths about tackling climate change,Washington Post,https://www.washingtonpost.com/climate-solutions/2023/08/28/climate-action-poll/
Zero Waste,UK's 1st zero-waste theater leads the way in sustainable art,Anadolu Ajansı,https://www.aa.com.tr/en/culture/uks-1st-zero-waste-theater-leads-the-way-in-sustainable-art/2970861
Zero Waste,Press Conference: World Cities Day 2023 and new zero-waste initiatives,UN Web TV,https://media.un.org/en/asset/k1z/k1zaoh5oqk
Zero Waste,EU single-use beverage container industry unlikely to achieve climate targets,Zero Waste Europe,https://zerowasteeurope.eu/press-release/eu-single-use-beverage-container-industry-unlikely-to-achieve-climate-targets/
Zero Waste,Rubicon Leads Zero-Waste Efforts in Grocery Sector,Environment+Energy Leader,https://www.environmentenergyleader.com/2023/09/rubicon-leads-zero-waste-efforts-in-grocery-sector/
Zero Waste,UN zero waste board holds first meeting in Istanbul,Daily Sabah,https://www.dailysabah.com/politics/un-zero-waste-board-holds-first-meeting-in-istanbul/news
Zero Waste,zero-waste journey: An interview with Melissa Tan - Greenpeace International,Greenpeace,https://www.greenpeace.org/international/story/63171/a-zero-waste-journey-an-interview-with-melissa-tan/
